ransack
heave
fumble
coagulate
record high
leap
on autopilot
what's the deal with
whip up
rather
slurping
apace
fend off
dubious
my boob
strut
oscilate
what with
amputee
exert
strip
plump
crease
ergonomic
prong
poke fun at
dissipate
corpse
broad outline
perpetually
kneel
my dad just kept telling me he loved me in this voice that was not breaking so much as already broken, and I kept telling him that I loved him, too,
drizzle
Admittedly
purchased time
